ID_FERTILIZANTE|NOME|TIPO|SOLO_RECOMENDADO|INDICACAO_USO|CLASS_TOXICIDADE|TEMPO_LIB_NUTRIENTES|CLASS_SUSTENTAB|CLASS_SOLUBILIDADE|METODO_IRRIGACAO_IDEAL|STATUS_VENDA
#0026|AgriNutri|Sintetico|Arenoso|Grãos|Média|Rápido|Baixa|Alta|Aspersão|Ativo
#0010|AgroGrain|Mineral|Arenoso|Grãos|Baixa|Rápido|Média|Alta|Gotejamento|Ativo
#0018|AgroVeg Sustainable|Mineral|Arenoso|Hortaliças|Baixa|Rápido|Alta|Média|Aspersão|Ativo
#0016|BioFruit|Orgânico|Humoso|Frutíferas|Baixa|Lento|Alta|Média|Aspersão|Ativo
#0002|BioFruit Premium|Orgânico|Humoso|Frutíferas|Baixa|Lento|Alta|Média|Aspersão|Ativo
#0027|BioFruitMax|Orgânico|Humoso|Frutíferas|Baixa|Lento|Alta|Média|Aspersão|Ativo
#0005|BioVeg Soluble|Organico|Humoso|Hortalicas |Baixa|Lento|Alta|Alta|Aspersão|Ativo
#0032|BloomMaster|Mineral|Arenoso|Frutíferas|Alta|Rápido|Baixa|Alta|Gotejamento|Ativo
#0015|EcoGrowth|Sintético|Argiloso|Grãos|Média|Médio|Média|Baixa|Aspersão|Ativo
#0011|EcoHumus Fruit|Organico|Humoso|Frutíferas|Baixa|Lento|Média|Baixa|Aspersão|Ativo
#0021|FirmGrain|Mineral|Argiloso|Graos|Média|Médio|Baixa|Média|Aspersão|Ativo
#0017|FruitAreno Plus|Mineral|Arenoso|Frutíferas|Baixa|Médio|Alta|Alta|Aspersão|Ativo
#0006|FruitHumus|Orgânico|Humoso|Frutíferas|Baixa|Médio|Alta|Média|Aspersão|Ativo
#0013|FruitMix|Sintético|Argiloso|Frutíferas|Média|Médio|Média|Média|Aspersão|Ativo
#0008|FruitTerra|Mineral|Humoso|Frutíferas|Média|Lento|Média|Alta|Aspersão|Ativo
#0020|GreenGuardian|Sintético|Argiloso|Frutíferas|Baixa|Lento|Média|Média|Aspersão|Ativo
#0025|GreenVeg Plus|Orgânico|Humoso|Hortaliças|Baixa|Lento|Alta|Média|Gotejamento|Ativo
#0030|HarvestMax|Sintetico|Argiloso|Grãos|Baixa|Lento|Alta|Média|Gotejamento|Ativo
#0024|HumusVeg|Mineral|Humoso|Hortaliças|Baixa|Lento|Alta|Alta|Aspersão|Descontinuado
#0001|LowSustain|Sintético|Argiloso|Hortaliças|Alta|Médio|Baixa|Média|Aspersão|Ativo
#0033|MineralSlowVeg|Mineral|Arenoso|Hortaliças|Baixa|Lento|Alta|Alta|Aspersão|Ativo
#0014|OrganicGrain|Orgânico|Argiloso|Grãos|Baixa|Lento|Alta|Baixa|Aspersão|Descontinuado
#0003|PlantVitalize|Mineral|Arenoso|Frutíferas|Alta|Rápido|Baixa|Baixa|Aspersão|Descontinuado
#0031|PotentGrain|Sintético|Argiloso|Grãos|Alta|Lento|Média|Alta|Gotejamento|Ativo
#0009|RapidGrow Max|Sintético|Arenoso|Hortaliças|Baixa|Rápido|Média|Alta|Gotejamento|Ativo
#0034|RapidVeg|Mineral|Arenoso|Hortaliças|Média|Rápido|Média|Alta|Gotejamento|Ativo
#0007|RootRevive|Sintético|Arenoso|Grãos|Média|Médio|Baixa|Média|Gotejamento|Ativo
#0012|RootRevive Plus|Sintético|Argiloso|Grãos|Baixa|Lento|Média|Média|Gotejamento|Ativo
#0004|SpeedVeg|Mineral|Arenoso|Hortaliças|Média|Rápido|Baixa|Alta|Gotejamento|Ativo
#0023|SynthVeg|Sintetico|Humoso|Hortaliças|Baixa|Médio|Média|Média|Gotejamento|Ativo
#0022|TerraFusion|Mineral|Arenoso|Hortaliças|Média|Médio|Média|Alta|Gotejamento|Ativo
#0019|TerraVeg|Orgânico|Argiloso|Hortaliças|Média|Lento|Média|Média|Gotejamento|Ativo
#0028|VegFlash Mineral|Mineral|Arenoso|Hortaliças|Média|Rápido|Média|Alta|Gotejamento|Ativo
#0029|VitalGrow|Organico|Arenoso|Frutíferas|Baixa|Médio|Média|Baixa|Aspersão|Ativo
