ID_FERTILIZANTE	NOME	PRECO_MEDIO_GALAO_2023	PRECO_MEDIO_GALAO_2024	FATURAMENTO_JAN_24	FATURAMENTO_FEV_24	FATURAMENTO_MAR_24	FATURAMENTO_ABR_24	FATURAMENTO_MAI_24	FATURAMENTO_JUN_24	FATURAMENTO_JUL_24	FATURAMENTO_AGO_24	FATURAMENTO_SET_24	FATURAMENTO_OUT_24	FATURAMENTO_NOV_24	FATURAMENTO_DEZ_24
ID 0001	LowSustain	259.47	272.6	898144,13	978656,62	1147296,2	1322736,48	1207680,98	1125536,82	945200,35	1088816,28	1280032,07	1361360,15	1168240,81	940032,82
ID 0002	BioFruit Premium	203.25	217.53	1909600,59	1483629,4	1711696,67	1420916,38	991690,94	1109304,78	1308293,62	1417227,99	1657446,59	1423954,17	1180697,59	1077188,32
ID 0003	PlantVitalize	299.52	314.72	2762886,87	2261742,87	2532096,08	2158750,67	1483022,8	1596062,8	90280,07	43050,65	0	0	1252,18	0
ID 0004	SpeedVeg	140.66	146.3	1009736,2	1122302,1	1235306,12	1502340,42	1361450,3	1234138,16	1073976,22	1230196,09	1443794,6	1515480,84	1321592,12	1060544,37
ID 0005	BioVeg Soluble	156.69	165.02	1141470,06	1270830,21	1460415,8	1735470,61	1556280,38	1450185,98	1230405,45	1389960,75	1645545,35	1765995,08	1509255,4	1208790,45
ID 0006	FruitHumus	187.86	198.84	1603998,04	1283436,62	1468764,42	1199286,89	845262,54	914364,37	1053162,42	1204038,76	1405800,47	1230372,93	983664,88	919314,93
ID 0007	RootRevive	145.92	152.5	1829776,42	1563624,54	1476376,87	1355992,89	1150184,76	911544,66	901360	1061568,88	1408584,47	1693888,37	2087872,32	1947728,31
ID 0008	FruitTerra	152.64	160.19	1395360,39	1115200,45	1287360,09	1053120,33	722240,36	782880,74	928480,43	1079040,47	1202400,37	1084960,24	874720,65	785120,41
ID 0009	RapidGrow MAX	155.5	164.37	916596,8	978096,9	1133568,92	1314624,86	1201464,24	1095684,57	936112,8	1049600,18	1264112,11	1346440,73	1173092,16	927748,73
ID 0010	AgroGrain	169.97	177.36	1863102,76	1629462,27	1468038,77	1363962,05	1127313,69	925356,56	876681,26	1115808,15	1415646,63	1708050,21	2174268,8	1961514,65
ID 0011	EcoHumus Fruit	150.94	159.12	2099595,16	1624503,75	1897188,53	1564878,27	1127310,45	1177872,02	1380915,51	1574736,23	1826433,09	1566627,79	1311273,81	1201722,7
ID 0012	RootRevive Plus 	178.79	187.77	1578841,91	1399882,57	1285999,03	1196426,76	972213,62	788766,96	772497,98	944537,76	1243176,51	1470194,69	1842137,75	1719465,89
ID 0013	FruitMix	181.82	192.48	1323264,87	1061184,67	1172352,77	1020672,22	719040,4	741888,89	888192,96	1005504,95	1153920,57	985920,32	837312,03	746496,67
ID 0014	OrganicGrain	249.8	261.66	3106161,59	2654109,4	2413206,61	2245383,2	1882593,39	1573569,7	1496052,08	1275061,18	375622,8	75959,77	9488,16	2925,92
ID 0015	EcoGrowth	236.96	250.27	1078500,03	934500,6	872500,21	813000,44	690250,92	546250,23	538250,14	617250,03	822000,9	990000,88	1262000,31	1161250,67
ID 0016	BioFruit	226.59	242.25	1921722,14	1573242,34	1767568,26	1501368,22	1019546,96	1097228,78	1321320,08	1455388,48	1659636,93	1464100,39	1208790,92	1109086,39
ID 0017	FruitAreno Plus	163.48	171.33	1681785,87	1355517,55	1546524,37	1328328,76	879624,07	995391,15	1167930,65	1272069,08	1496421,23	1302507,61	1039167,58	978120,41
ID 0018	AgroVeg Sustainable	199.68	213.07	703326,74	770847,55	885654,06	1036032,58	968937,9	869466,85	755937,92	865632,97	1011537,75	1063296,61	914409,28	749760,19
ID 0019	TerraVeg	138.32	144.15	288720,38	311904,2	353808,49	419184,32	389088,21	354672,55	299376,88	349488,55	403200,08	431424,39	381168,37	305136,46
ID 0020	GreenGuardian	188.28	199.92	2246312,05	1817865,8	2011293,27	1673192,13	1213303,44	1273202,15	1529116,64	1720156,33	1935474,69	1721748,42	1348225,77	1241960
ID 0021	FirmGrain	127.8	132.27	1136652,69	978648,64	907500,99	829884,15	712008,67	565488,59	536712,96	671352,43	855888,6	1045704,67	1294920,37	1179420,09
ID 0022	Terra Fusion	135.32	140.23	538440,01	596680,66	686700,28	794220,51	739060,03	661920,38	578900,17	650300,37	789880,77	824740,43	722400,6	578200,13
ID 0023	SynthVeg	202.5	216.08	1460808,08	1621944,5	1785672,24	2164320,66	1991088,01	1752408,12	1566648,63	1772928,51	2094120,64	2220264,84	1882008,71	1515024,82
ID 0024	HumusVeg	238.52	248.1	1148736,44	1260088,28	1461960,36	1687888,44	1559424,44	1412360,99	1236776,15	0	0	0	0	0
ID 0025	GreenVeg  Plus	123.2	129.75	809088,04	896421,43	1029807,99	1192863,84	1102176,73	1007748,26	853206,3	981561,28	1162419,4	1253880,55	1048512,87	874620,62
ID 0026	AgriNutri 	166.89	176.69	763488,09	654016,49	588192,49	546656,47	453024,26	369072,92	359392,24	435952,65	589600,3	690272,82	863632,9	802384,91
ID 0027	BioFruitMax	177.23	188.63	1620184,3	1262232,98	1434816,86	1221248,95	879840,6	940188,72	1092092,94	1208088,89	1410752,27	1200004,17	1024600,27	909920,94
ID 0028	VegFlash Mineral	157.39	163.37	1219729,16	1376535,67	1530407,65	1828534,47	1666023,42	1492428,72	1285092,68	1490961,46	1744100,81	1859015,91	1578818,94	1298947,41
ID 0029	VitalGrow	224.56	235.49	2803315,66	2244015,61	2545520,55	2175160,35	1473215,16	1621500,63	1871775,1	2158005,28	2468205,89	2168110,58	1794930,55	1602465,43
ID 0030	HarvestMax	193.01	207.92	1783098,95	1552087	1413189,1	1330596,83	1101654,29	921978,77	836280,87	1018026,62	1351503,88	1656207,61	2024460,93	1899639,15
ID 0031	PotentGrain	211.21	224.87	2202592,55	1870624,95	1687392,75	1549632,17	1350048,54	1125152,83	1030848,31	1281728,73	1662080,67	1966720,33	2501632,49	2324000,22
ID 0032	BloomMaster	274.15	288.2	1549440,32	1239552,13	1427616,52	1196928,54	846144,47	915552,32	1035072,72	1205280,19	1347552,04	1200960,79	982656,69	876960,59
ID 0033	MineralSlow Veg	247.35	257.07	1382917,23	1536860,41	1711106,44	2034155,11	1883039,2	1699798,61	1425322,08	1668187,39	1934953,62	2072191,8	1830097,81	1450251,43
ID 0034	RapidVeg	152.22	158.94	512710,14	574804,14	646536,35	753502,77	685720,6	615410,89	531670,81	610038,94	728380,01	783048,71	665180,48	535936,67
